name,model,simulator,success_0.5m,success_0.25m,l_mpjpe_mm,vel_err_mm,accel_err_mm
walk/LocoMuJoCo_walk_chunk_0184,phuma,isaacsim,1,0,44.23,6.379,1.794
walk/LocoMuJoCo_walk_chunk_0184,phuma,mujoco,1,0,42.24,6.477,2.163
walk/humanml_001251_chunk_0000,amass,isaacsim,1,1,43.25,4.817,1.409
walk/humanml_001251_chunk_0000,amass,mujoco,1,0,43.26,5.125,1.414
walk/humanml_001251_chunk_0000,phuma,isaacsim,1,1,48.8,5.128,1.554
walk/humanml_001251_chunk_0000,phuma,mujoco,1,0,44.65,5.311,1.569
walk/humanml_005439_chunk_0001,amass,isaacsim,1,0,34.88,4.693,1.089
walk/humanml_005439_chunk_0001,amass,mujoco,1,0,33.25,4.618,1.017
walk/humanml_005439_chunk_0001,phuma,isaacsim,1,1,39.92,4.88,1.212
walk/humanml_005439_chunk_0001,phuma,mujoco,1,1,36.82,4.671,1.214
walk/humanml_010359_chunk_0001,amass,isaacsim,0,0,34.96,5.687,1.288
walk/humanml_010359_chunk_0001,amass,mujoco,0,0,40.01,6.529,1.33
walk/humanml_010359_chunk_0001,phuma,isaacsim,1,0,36.56,6.093,1.67
walk/humanml_010359_chunk_0001,phuma,mujoco,1,0,35.52,5.907,1.575
walk/humanml_013885_chunk_0000,amass,isaacsim,1,1,36.38,3.866,1.202
walk/humanml_013885_chunk_0000,amass,mujoco,0,0,41.82,6.23,1.517
walk/humanml_013885_chunk_0000,phuma,isaacsim,1,1,40.59,4.587,1.36
walk/humanml_013885_chunk_0000,phuma,mujoco,1,1,42.03,5.331,1.71
